link,post_text
https://www.facebook.com/share/p/iAxNWnmsWA6vM6F2/," học viện công nghệ bưu chính viễn thông công bố điểm trúng tuyển năm 2024
 hội đồng tuyển sinh học viện công nghệ bưu chính viễn thông thông báo kết quả xét tuyển hệ đại học chính quy năm 2024 dựa trên kết quả thi thpt năm 2024 cơ sở đào tạo phía bắc mã trường bvh 
 thí sinh tra cứu kết quả xét tuyển trên hệ thống tuyển sinh chung của bộ gdđt theo địa chỉ httpsthisinhthitotnghiepthpteduvn 
 học viện tổ chức nhập học cho các tân sinh viên vào các ngày 679 follow fanpage để cập nhật thông tin chi tiết
lưu ý các thí sinh trúng tuyển phải hoàn thành việc xác nhận nhập học trên hệ thống tuyển sinh chung của bộ gdđt trước khi làm thủ tục nhập học
 chúc mừng d24 ptiters 
xem chi tiết tại httpsportalptiteduvnhocviencongnghebuuchinh

học viện công nghệ bưu chính viễn thông
trụ sở chính 122 hoàng quốc việt pnghĩa tân qcầu giấy hà nội
học viện cơ sở tại tphcm 11 nguyễn đình chiểu p đakao quận 1 thành phố hồ chí minh
cơ sở đào tạo tại hà nội km10 đường nguyễn trãi pmộ lao qhà đông hà nội
cơ sở đào tạo tại tphcm đường man thiện tp thủ đức tphồ chí minh
 fanpage httpsfacebookcomhocvienptit
 tuyển sinh httpstuyensinhptiteduvn
 youtube httpswwwyoutubecompchannels
 website httpsportalptiteduvn"
https://www.facebook.com/share/p/nxB8iuuSmVkYbLFZ/,"có một ptit rất khác
trong ngày 079 cơn bão số 3 tên quốc tế là bão yagi đã quét qua nhiều địa phương tại miền bắc trong đó hải phòng quảng ninh chịu thiệt hại nặng nề nhất hà nội cũng chịu nhiều ảnh hưởng thiệt hại từ cơn bão này trong khi hà nội nói chung và học viện công nghệ bưu chính viễn thông cơ sở hà nội nói riêng đang khắc phục dần các thiệt hại do bão đề nghị sinh viên học viện tích cực khắc phục khó khăn trong học tập sau bão do những thiệt hại về cơ sở vật chất của học viện lưu ý hạn chế lưu thông tại các khu vực đang bị thiệt hại có cảnh báo nguy hiểm không an toàn 
    page học viện công nghệ bưu chính viễn thông cũng xin được chuyển lời thăm hỏi ban đầu từ tập thể lãnh đạo học viện tới toàn thể gia đình các sinh viên chịu thiệt hại do bão đặc biệt là các sinh viên tại hải phòng và quảng ninh các sinh viên có khó khăn cần trợ giúp đặc biệt do gia đình bị thiệt hại do bão liên hệ với phòng chính trị và công tác sinh viên email ctsvptiteduvn để học viện có thông tin và phần nào chia sẻ khó khăn với gia đình 
trân trọng
fromptitwithlove ptit

học viện công nghệ bưu chính viễn thông
trụ sở chính 122 hoàng quốc việt pnghĩa tân qcầu giấy hà nội
học viện cơ sở tại tphcm 11 nguyễn đình chiểu p đakao quận 1 thành phố hồ chí minh
cơ sở đào tạo tại hà nội km10 đường nguyễn trãi pmộ lao qhà đông hà nội
cơ sở đào tạo tại tphcm đường man thiện tp thủ đức tphồ chí minh
 fanpage httpsfacebookcomhocvienptit
 tuyển sinh httpstuyensinhptiteduvn
 youtube httpswwwyoutubecompchannels
 website httpsportalptiteduvn"
https://www.facebook.com/share/p/yFcRj6AHU95ZbSkh/,"còn nguyên 
ảnh từ cmt gr"
https://www.facebook.com/share/p/c8V8f2orZDw7kXNF/,"còn nguyên 
ảnh từ cmt gr"
https://www.facebook.com/share/p/fmAPJcuWPrYseJyz/,content not found
https://www.facebook.com/share/p/c6xbsBifdKiyMGCc/,content not found
https://www.facebook.com/share/p/GZW4oiuALgWD1xXa/,"sổ tay điện tử ptit  học hết mình chơi hết nấc
 sau những lần review game trá hình ptiters đang rất mong đợi rùi phải không 
 để tiện cho các bạn sinh viên thoả sức khám phá đặc biệt là các bạn d24 mọi thông tin về học viện sẽ được cung cấp đầy đủ trong sổ tay điện tử ptit
 hướng dẫn tham gia game 
b1 tải file trên link drive đính kèm giải nén tập tin đã tải
b2 mở thư mục đã giải nén và chạy file ptitexe có hình toà a2 học viện
b3 khi vào giao diện game sinh viên đăng ký theo msv của mình để đua rank nhận quà ngoài ra có thể đăng ký account bất kỳ để trải nghiệm
b4 đăng nhập và trải nghiệm theo hướng dẫn sau khi hoàn thiện sinh viên bấm lưu thông tin để ghi danh trên bảng rank
 các bạn lưu ý lọt top 3 game này sẽ được nhận 1 phần quà siêu khủng của học viện đó nha 
 game thì không có jumpscare nhưng mấy cái mã qr có thể xuất hiện bất cứ lúc nào nên các bạn cứ chuẩn bị tinh thần nha
 hình thức nhận quà 
 mỗi tuần sẽ reset bảng rank top 3 sinh viên đầu bảng qua giai đoạn kiểm tra thông tin sẽ được nhận quà
 liên hệ nhận quà nguyễn duy khánh  0388764641 phòng ctctsv
 đang mưa gió bão lũ chỉ cần ở nhà mà cũng có thể chơi game vừa học thêm được nhiều kiến thức vừa được nhận quà của ptit còn chần chờ chi các bạn sinh viên ơii leo rank và nhận quà thôi 
phiên bản chạy thử đang trong thời gian thử nghiệm để cùng chung tay góp sức xin gửi tới các bạn sinh viên cổng đánh giá góp ý về game để hoàn thiện và phát triển hơn
httpsformsgle5gfuy7ilgq8gm7as5
link drive tải game
httpsdrivegooglecom1acyjsrpysgmviqhdznpseug8avs

học viện công nghệ bưu chính viễn thông
trụ sở chính 122 hoàng quốc việt pnghĩa tân qcầu giấy hà nội
học viện cơ sở tại tphcm 11 nguyễn đình chiểu p đakao quận 1 thành phố hồ chí minh
cơ sở đào tạo tại hà nội km10 đường nguyễn trãi pmộ lao qhà đông hà nội
cơ sở đào tạo tại tphcm đường man thiện tp thủ đức tphồ chí minh
 fanpage httpsfacebookcomhocvienptit
 tuyển sinh httpstuyensinhptiteduvn
 youtube httpswwwyoutubecompchannels
 website httpsportalptiteduvn"
https://www.facebook.com/share/p/ioQqgTZwz1jTYxoe/,content not found
https://www.facebook.com/share/p/kiVn7km7CB8sSLjU/,"ptit20394  
mình khá bức xúc về khoản dịch vụ của trường trước thì thấy vụ nhận bằng của các anh chị khóa trên cũng chậm chạp như 1 anh mình quen khóa trước ra trường cũng vì cái tội trường lâu trả bằng mà mất bao nhiêu cơ hội việc làm ngon và rồi cái gì tới cũng đã tới giờ tớt lượt mình mình đang ứng tuyển vào 1 vị trí của 1 tập đoàn nhà nước cũng rất lớn và sau thời gian thi tuyển họ bắt nộp bảng điểm có dấu của nhà trường với thời hạn khá ngắn đen thay đúng vào đợt nhà trường cập nhật điểm  và câu trả lời từ nhà trường là đợi tới tận nửa tháng
 trong thời gian cập nhật rất dài thế trường không có thông báo qua cổng thông tin nào để cho sinh viên có nguyện vọng cần thiết để tranh thủ trước thời gian đó giờ mình rơi vào trạng thái tiến thoái lưỡng nan tiến lên thì không được mà lùi lại cũng không xong doanh nghiệp thì đòi gần như phải có luôn còn trường thì thời gian ngắn thì không thể có chắc cũng rất nhiều ace bạn cũng và đã rời vào trường hợp tương tự như này 
mình không muốn bóc phốt trường nhưng thực sự nhà trường còn quá bất cập trong việc giúp tạo điều kiện cho công việc của sinh viên trường cứ thử nhìn các trường khác dịch vụ như thế và nhìn về trường mình thì đúng chán một phần lỗi cũng do mình không chuẩn bị giấy tờ sớm đây có thể đây là ý kiến chủ quan của mình mong mọi người hoan hỉ"
https://www.facebook.com/share/p/bgPm9GgP1L4U3RZp/,"ptit20391   
niềm vui đỗ đại học và niềm tự hào được là ptiter đang ngày càng giảm sút theo cái cách mà hv đối xử với tân sv
 mất điểm lần một công bố điểm chuẩn quá chậm không biết hv ngâm điểm chuẩn để công bố có lợi ích gì chứ tân sinh viên chỉ thêm căng thẳng và thất vọng vì khả năng quyết định của hv trong khi bạn bè và các trường khác công bố điểm chuẩn rần rần thì hv vẫn im lìm cố thủ tân sv phải vào web của bộ xem kết quả thay vì vào trang web của hv
 mất điểm lần 2 phần mềm xác nhận nhập học online thì lỗi nhoe khi thì báo đỗ thành trượt khi thì báo hồ sơ không hợp lệ khi thì báo không thấy máy chủ thấy quảng cáo hv công nghệ hay là đại học số gì mà cái phần mềm tuyển sinh cũng không dùng được
 mất điểm lần 3 học phí đã cao thì chớ lại cộng luôn học phí 75tc quân sự vào bắt nộp luôn đúng gây sốc cho gia đình tân sv mà nếu tách phần học phí quân sự đấy ra cho sv nộp vào khi bắt đầu học khi nhập học chỉ phải nộp hp không tính qs thì thấp hơn có phải giãn áp lực cho gia đình bọn em không mà hv vẫn thu được đủ không mà tân sv cũng đỡ bị sốc rồi đỡ tuyên truyền xấu cho hình ảnh hv không
 có khi nào còn mất điểm lần n không 
rõ ràng hv có đào tạo ngành truyền thông ngành quan hệ công chúng mà làm truyền thông lỗi thế này quan hệ công chúng lỗi thế này thì đi dạy sv thế nào tự nhiên lại phân vân có nên nhập học không nữa"
