,comments
0,Ứng tuyển ạ.
1,Còn 2 cây bàng bên hông phải nhà a2 nữa mà ad
2,Cây sưa còn ổn khum
3,Lưu Thị Nguyệt Anh ổnn't
4,"Lưu Thị Nguyệt Anh may quá, em nó vẫn ổn để còn có chỗ cho các anh chị sv check in"
5,Học viện Công nghệ Bưu chính Viễn thông - PTIT trộm vía chứ hoa rõ đẹp luôn ad
6,giống phim kinh dị quá ạ
7,Mai nhập học chỉ đổi ngày còn giờ vẫn giữ nguyên ạ ad
8,Hậu Lee vì chỉ còn số ít sv chưa nhập học nên em đến nhập học vào buổi sáng được nhé
9,Hóa ra học phí bọn e đặt ở đây..
10,Minh Hue Bui năm sau cô trò mình hết chụp ảnh bằng lăng oyyyy
11,"Hoàng Hải Lý vẫn còn nhiều mà, nó thấp nên đỡ hơn các cây cao"
12,":,))) đá ốp tường cũng k yên hả"
13,Mong trường sớm chữa lành
14,Phạm Văn Phúc thời gian sẽ chữa lành mọi vết thương em ạ
15,May quá vợ không bị lsao
16,cứu em mn ơi học zoom 3h mà baaaayh em ko tìm đc link ạ huhu
17,"Confession mới cho mn muốn hỏi gì mà ngại nhee
Link Page bên dưới"
18,Nguyễn Thu Hiền nhìn trường cũng buồn nhưng mà mai mình đi nhặt sấu không:((
19,Nguyễn Kim Huệ nay nhặt xoài chưa đã tay hả mà còn tính mai đi nhặt tiếp
20,Ai cho tôi biết cây sưa cổng trường sao rồi đii
21,khủng khiếp thật
22,Linh Ngọc Ngô Huyền hsau học lí mát lắm
23,Ngọc Ahn Hoà mk vào thiên nhiên
24,Linh Ngọc Ngọc Ahn mang chăn lên đắp
25,"Ngô Huyền phòng thông vs ngoài trời r, mang lên ngủ bao sướng"
26,Ngọc Ahn mang ô đi kẻo mưa nó hắt nắng nó chói
27,Linh Ngọc tương lai sáng chói thế còn gì
28,Hoang tàn gần bằng PTIT nam kì
29,Nghỉ mấy hôm cho trường sửa sang lại vậy...
30,"Lâm Lương Phúc sinh viên chủ động thôi, lớn r phải biết ý"
31,Đặng Sỹ Khang ôi PTIT:((
32,Hoai Anh ôi khôm:<
33,Long Ha dấu hiệu học phí tăng
34,:((( sad quá tr quá đất
35,Nguyễn Mạnh Hùng anh ơi anh có nhiều vc để làm rồi
36,Dương Ngọc Huyền bạn ổn khong
37,Thu Phương bạn phải hỏi là trường tôi ổn ko chứ :))
38,Cá vàng ở đá thần k biết sao rồi Thu Hòa
