link,post_text,word_count
https://www.facebook.com/share/p/iAxNWnmsWA6vM6F2/," HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG CÔNG BỐ ĐIỂM TRÚNG TUYỂN NĂM 2024
 Hội đồng tuyển sinh Học viện Công nghệ Bưu chính Viễn thông thông báo kết quả xét tuyển hệ đại học chính quy năm 2024 dựa trên kết quả thi THPT năm 2024, Cơ sở đào tạo phía Bắc (mã trường: BVH) .
 Thí sinh tra cứu kết quả xét tuyển trên hệ thống tuyển sinh chung của Bộ GD&ĐT theo địa chỉ: https://thisinh.thitotnghiepthpt.edu.vn 
 Học viện tổ chức nhập học cho các tân sinh viên vào các ngày 6,7/9. Follow fanpage để cập nhật thông tin chi tiết.
Lưu ý: Các thí sinh trúng tuyển phải hoàn thành việc xác nhận nhập học (trên hệ thống tuyển sinh chung của Bộ GD&ĐT) trước khi làm thủ tục nhập học.
 CHÚC MỪNG D24 PTITERS !!!
Xem chi tiết tại: https://portal.ptit.edu.vn/hoc-vien-cong-nghe-buu-chinh.../
——————————————————————————-
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Tân, Q.Cầu Giấy, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. ĐaKao, Quận 1, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Nội: Km10 Đường Nguyễn Trãi, P.Mộ Lao, Q.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: Đường Man Thiện, TP Thủ Đức, TP.Hồ Chí Minh.
► Fanpage: https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Website: https://portal.ptit.edu.vn",230
https://www.facebook.com/share/p/nxB8iuuSmVkYbLFZ/,"CÓ MỘT PTIT RẤT KHÁC
Trong ngày 07/9, cơn bão số 3 (tên quốc tế là bão Yagi) đã quét qua nhiều địa phương tại Miền Bắc, trong đó Hải Phòng, Quảng Ninh chịu thiệt hại nặng nề nhất. Hà Nội cũng chịu nhiều ảnh hưởng, thiệt hại từ cơn bão này. Trong khi Hà Nội nói chung và Học viện Công nghệ Bưu chính Viễn thông Cơ sở Hà nội nói riêng đang khắc phục dần các thiệt hại do bão, đề nghị sinh viên Học viện tích cực khắc phục khó khăn trong học tập sau bão do những thiệt hại về cơ sở vật chất của Học viện; lưu ý hạn chế lưu thông tại các khu vực đang bị thiệt hại, có cảnh báo nguy hiểm, không an toàn 
    Page Học viện Công nghệ Bưu chính Viễn thông cũng xin được chuyển lời thăm hỏi ban đầu từ tập thể Lãnh đạo Học viện tới toàn thể gia đình các sinh viên chịu thiệt hại do bão, đặc biệt là các sinh viên tại Hải phòng và Quảng Ninh. Các sinh viên có khó khăn cần trợ giúp đặc biệt do gia đình bị thiệt hại do bão liên hệ với Phòng Chính trị và Công tác Sinh viên, email: ctsv@ptit.edu.vn để Học viện có thông tin và phần nào chia sẻ khó khăn với gia đình. 
Trân trọng!
#fromptitwithlove #ptit
——————————————————————————-
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Tân, Q.Cầu Giấy, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. ĐaKao, Quận 1, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Nội: Km10 Đường Nguyễn Trãi, P.Mộ Lao, Q.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: Đường Man Thiện, TP Thủ Đức, TP.Hồ Chí Minh.
► Fanpage: https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Website: https://portal.ptit.edu.vn",321
https://www.facebook.com/share/p/yFcRj6AHU95ZbSkh/,"Còn nguyên 
Ảnh từ cmt gr",6
https://www.facebook.com/share/p/c8V8f2orZDw7kXNF/,"Còn nguyên 
Ảnh từ cmt gr",6
https://www.facebook.com/share/p/fmAPJcuWPrYseJyz/,Content not found,3
https://www.facebook.com/share/p/c6xbsBifdKiyMGCc/,Content not found,3
https://www.facebook.com/share/p/GZW4oiuALgWD1xXa/,"SỔ TAY ĐIỆN TỬ PTIT - HỌC HẾT MÌNH, CHƠI HẾT NẤC
 Sau những lần review game trá hình, PTIT-ers đang rất mong đợi rùi phải không 
 Để tiện cho các bạn sinh viên thoả sức khám phá đặc biệt là các bạn D24, mọi thông tin về Học viện sẽ được cung cấp đầy đủ trong ""Sổ tay điện tử PTIT""
 Hướng dẫn tham gia game: 
B1: Tải file trên link drive đính kèm, giải nén tập tin đã tải.
B2: Mở thư mục đã giải nén và chạy file PTIT.exe có hình Toà A2 Học viện
B3: Khi vào giao diện game, sinh viên đăng ký theo MSV của mình (để đua rank nhận quà), ngoài ra có thể đăng ký account bất kỳ để trải nghiệm.
B4: Đăng nhập và trải nghiệm theo hướng dẫn. Sau khi hoàn thiện sinh viên bấm lưu thông tin để ghi danh trên bảng rank
 Các bạn lưu ý: Lọt Top 3 game này sẽ được nhận 1 phần quà siêu khủng của Học viện đó nha 
 Game thì không có jumpscare nhưng mấy cái mã QR có thể xuất hiện bất cứ lúc nào nên các bạn cứ chuẩn bị tinh thần nha
 Hình thức nhận quà: 
- Mỗi tuần sẽ reset bảng rank, top 3 sinh viên đầu bảng, qua giai đoạn kiểm tra thông tin sẽ được nhận quà.
 Liên hệ nhận quà: Nguyễn Duy Khánh - 038.876.4641 (Phòng CT&CTSV)
 Đang mưa gió, bão lũ chỉ cần ở nhà mà cũng có thể chơi game vừa học thêm được nhiều kiến thức vừa được nhận quà của PTIT, còn chần chờ chi các bạn sinh viên ơii leo rank và nhận quà thôi 
Phiên bản chạy thử đang trong thời gian thử nghiệm, để cùng chung tay góp sức, xin gửi tới các bạn sinh viên cổng đánh giá, góp ý về game để hoàn thiện và phát triển hơn:
https://forms.gle/5gFuy7iLgq8gm7as5
Link drive tải game:
https://drive.google.com/.../1acyjsRPySGmvIQHDZNPseug8AVS...
——————————————————————————-
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Tân, Q.Cầu Giấy, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. ĐaKao, Quận 1, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Nội: Km10 Đường Nguyễn Trãi, P.Mộ Lao, Q.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: Đường Man Thiện, TP Thủ Đức, TP.Hồ Chí Minh.
► Fanpage: https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Website: https://portal.ptit.edu.vn",414
https://www.facebook.com/share/p/ioQqgTZwz1jTYxoe/,Content not found,3
https://www.facebook.com/share/p/kiVn7km7CB8sSLjU/,"#ptit20394  
Mình khá bức xúc về khoản dịch vụ của trường, trước thì thấy vụ nhận bằng của các anh chị khóa trên cũng chậm chạp, như 1 anh mình quen khóa trước ra trường cũng vì cái tội trường lâu trả bằng mà mất bao nhiêu cơ hội việc làm ngon, và rồi cái gì tới cũng đã tới giờ tớt lượt mình, mình đang ứng tuyển vào 1 vị trí của 1 tập đoàn nhà nước cũng rất lớn và sau thời gian thi tuyển họ bắt nộp bảng điểm có dấu của nhà trường với thời hạn khá ngắn. Đen thay đúng vào đợt nhà trường cập nhật điểm  và câu trả lời từ nhà trường là đợi tới tận nửa tháng.
 Trong thời gian cập nhật rất dài thế trường không có thông báo qua cổng thông tin nào để cho sinh viên có nguyện vọng cần thiết để tranh thủ trước thời gian đó. Giờ mình rơi vào trạng thái ""tiến thoái lưỡng nan"" tiến lên thì không được mà lùi lại cũng không xong, doanh nghiệp thì đòi gần như phải có luôn còn trường thì thời gian ngắn thì không thể có, chắc cũng rất nhiều a/c/e, bạn cũng và đã rời vào trường hợp tương tự như này. 
Mình không muốn bóc phốt trường nhưng thực sự nhà trường còn quá bất cập trong việc giúp tạo điều kiện cho công việc của sinh viên trường, cứ thử nhìn các trường khác dịch vụ như thế và nhìn về trường mình thì đúng chán. Một phần lỗi cũng do mình không chuẩn bị giấy tờ sớm. Đây có thể đây là ý kiến chủ quan của mình mong mọi người hoan hỉ.",290
https://www.facebook.com/share/p/bgPm9GgP1L4U3RZp/,"#ptit20391   
Niềm vui đỗ đại học và niềm tự hào được là Ptiter đang ngày càng giảm sút theo cái cách mà HV đối xử với tân SV:
- Mất điểm lần một: Công bố điểm chuẩn quá chậm. Không biết HV ngâm điểm chuẩn để công bố có lợi ích gì chứ tân sinh viên chỉ thêm căng thẳng và thất vọng vì khả năng quyết định của HV. Trong khi bạn bè và các trường khác công bố điểm chuẩn rần rần thì HV vẫn im lìm cố thủ, tân SV phải vào web của Bộ xem kết quả thay vì vào trang web của HV.
- Mất điểm lần 2: Phần mềm xác nhận nhập học online thì lỗi nhoe, khi thì báo đỗ thành trượt, khi thì báo hồ sơ không hợp lệ, khi thì báo không thấy máy chủ. Thấy quảng cáo HV công nghệ hay là đại học số gì mà cái phần mềm tuyển sinh cũng không dùng được.
- Mất điểm lần 3: Học phí đã cao thì chớ, lại cộng luôn học phí 7.5TC quân sự vào bắt nộp luôn, đúng gây sốc cho gia đình tân SV mà. Nếu tách phần học phí quân sự đấy ra cho SV nộp vào khi bắt đầu học, khi nhập học chỉ phải nộp HP không tính QS thì thấp hơn, có phải giãn áp lực cho gia đình bọn em không, mà HV vẫn thu được đủ không, mà tân SV cũng đỡ bị sốc rồi đỡ tuyên truyền xấu cho hình ảnh HV không?
- Có khi nào còn mất điểm lần n không? 
Rõ ràng HV có đào tạo ngành truyền thông, ngành quan hệ công chúng mà làm truyền thông lỗi thế này, quan hệ công chúng lỗi thế này thì đi dạy SV thế nào? tự nhiên lại phân vân có nên nhập học không nữa?""",318
